"2393123813848","PROPIA","CONCRETO","CASA INDEPENDIENTE","RED PUBLICA","CEMENTO","FOSA SEPTICA","SI","0","0","0","0","0","0","0","0","0",NULL,"32"
"4228090933034","PROPIA","CONCRETO","CASA INDEPENDIENTE","RED PUBLICA","CEMENTO","RED PUBLICA","SI","0","0","0","0","0","0","0","0","0",NULL,"33"
"4228065761398","PRESTADA","MATERIAL/LAMINA","CASA INDEPENDIENTE","POZO","TIERRA","FOSA SEPTICA","SI","0","0","0","0","0","0","0","0","0",NULL,"34"
"4228090060644","PRESTADA","CONCRETO","CASA INDEPENDIENTE","RED PUBLICA","CEMENTO","RED PUBLICA","SI","0","0","0","0","0","0","0","0","0",NULL,"35"
"4367092276207","PRESTADA","MATERIAL/LAMINA","CASA INDEPENDIENTE","RED PUBLICA","CEMENTO","RED PUBLICA","SI","0","0","0","0","0","0","0","0","0",NULL,"36"
"4345064014381","PROPIA","MATERIAL/LAMINA","CASA INDEPENDIENTE","RED PUBLICA","TIERRA","RED PUBLICA","SI","1","0","1","0","0","0","1","0","0",NULL,"37"
"0543017611136","PRESTADA","MATERIAL/LAMINA","CASA INDEPENDIENTE","RED PUBLICA","CEMENTO","FOSA SEPTICA","SI","1","1","1","0","0","0","1","0","0","4800","38"
"4365091346366","RENTADA","MADERA/CARTON","CUARTO VECINDAD","RED PUBLICA","TIERRA","FOSA SEPTICA","SI","0","0","1","1","1","0","1","0","0",NULL,"39"
"4307065093547","PROPIA","MADERA/CARTON","CASA INDEPENDIENTE","POZO","TIERRA","FOSA SEPTICA","SI","0","0","0","0","0","0","0","0","0",NULL,"40"
"332117711359","PROPIA","MATERIAL/LAMINA","CASA INDEPENDIENTE","RED PUBLICA","CEMENTO","RED PUBLICA","SI","0","0","0","0","0","0","0","0","0",NULL,"41"
"4228064379325","PRESTADA","MADERA/CARTON","CASA INDEPENDIENTE","RED PUBLICA","CEMENTO","RED PUBLICA","SI","0","0","0","0","0","0","0","0","0",NULL,"42"
"4228101404509","PRESTADA","CONCRETO","CASA INDEPENDIENTE","RED PUBLICA","CEMENTO","RED PUBLICA","SI","0","0","0","0","0","0","0","0","0",NULL,"43"
"0250016400406","PRESTADA","MADERA/CARTON","CASA INDEPENDIENTE","POZO","TIERRA","NO TIENE","NO","0","0","0","0","0","0","0","0","0",NULL,"44"
"4495065581769","PROPIA","MATERIAL/LAMINA","CASA INDEPENDIENTE","RED PUBLICA","CEMENTO","FOSA SEPTICA","NO","0","0","0","0","0","0","1","0","0",NULL,"45"
"4308064728503","PRESTADA","CONCRETO","CASA INDEPENDIENTE","POZO","CEMENTO","FOSA SEPTICA","SI","0","0","0","0","0","0","0","0","0",NULL,"46"
